bank code,bank name,branch code,sub branch code,branch name,address,city,zipcode,pob,telephone,handicap accessible,day closed,branch type,teller services,mortgage consulting,financial entities services,financial entities accounts,merge bank,merge branch,X coordinate,Y coordinate,open date,close date
3,"בנק אש ישראל בע""מ",1,,ישראל,החרש 20 ,תל אביב -יפו,,,,לא,,יחידת ביצוע,לא,לא,לא,לא,,,,,,
3,"בנק אש ישראל בע""מ",900,,תפעולי,החרש 20 ,תל אביב -יפו,,,,לא,,יחידת ביצוע,לא,לא,לא,לא,,,,,,
4,"בנק יהב לעובדי המדינה בע""מ",7,,מלחה ירושלים,"אגודת הספורט בית""ר 1 קניון עזריאלי מלחה ירושלים",ירושלים,9543501,36333,02-5009911,כן,יום ש,רגיל,לא,לא,כן,כן,,,31.751601,35.187316,01/09/2011,
4,"בנק יהב לעובדי המדינה בע""מ",44,,הלל יפה חדרה,דרך השלום 1 בית החולים הלל יפה,חדרה,9757023,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,32.072556,34.795031,25/09/2011,
4,"בנק יהב לעובדי המדינה בע""מ",110,,מרכז תפעול עורפי*-מרחב צפון,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,01/04/2021,
4,"בנק יהב לעובדי המדינה בע""מ",111,,מרכז תפעול עורפי*-מרחב מרכז,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,01/04/2021,
4,"בנק יהב לעובדי המדינה בע""מ",112,,מרכז תפעול עורפי-מרחב ירושלים,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,01/04/2021,
4,"בנק יהב לעובדי המדינה בע""מ",113,,מרכז תפעול עורפי  מרחב דרום,ירמיהו 80 ,ירושלים,9446759,36333,02-5009911,כן,יום ו,יחידת ביצוע,לא,לא,כן,כן,,,31.790769,35.200432,01/04/2021,
4,"בנק יהב לעובדי המדינה בע""מ",114,,אשדוד,הבנים 1 מרכז מסחרי,אשדוד,7744401,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,31.794833,34.640027,01/08/2007,
4,"בנק יהב לעובדי המדינה בע""מ",115,,"קריית הממשלה ת""א - מגדל היובל",מנחם בגין 125 מגדל היובל,תל אביב -יפו,6701201,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.072958,34.789526,12/11/2007,
4,"בנק יהב לעובדי המדינה בע""מ",116,,מודיעין,דם המכבים 28 מרכז המער,מודיעין-מכבים-רעות*,7178604,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,31.906103,35.005832,04/09/2008,
4,"בנק יהב לעובדי המדינה בע""מ",117,,מרכז הנגב,דרך מצדה 6 מרכז הנגב,באר שבע,8435706,36333,02-5009911,כן,יום ו,רגיל,לא,לא,כן,כן,,,31.259117,34.795597,21/01/2008,
4,"בנק יהב לעובדי המדינה בע""מ",118,,כפר סבא,ברל כצנלסון 2 קניון ערים,כפר סבא,4424720,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.176734,34.903087,14/04/2008,
4,"בנק יהב לעובדי המדינה בע""מ",119,,פתח תקווה,רבין 1 מגדלי גלובל טאוארס,פתח תקווה,4922003,36333,02-5009911,כן,יום א,רגיל,לא,לא,כן,כן,,,32.090665,34.861661,16/06/2008,
